Date,Clicks,Impressions,CTR,Position
2026-05-31,0,0,,
2026-06-01,2,18,11.11%,3.8
2026-06-02,2,23,8.7%,35.7
2026-06-03,0,58,0%,62.7
2026-06-04,2,71,2.82%,72.4
2026-06-05,4,55,7.27%,53.1
2026-06-06,5,39,12.82%,49.4
2026-06-07,2,39,5.13%,50
2026-06-08,0,130,0%,67.3
2026-06-09,1,200,0.5%,66.7
2026-06-10,2,234,0.85%,59.1
2026-06-11,0,114,0%,58.7
2026-06-12,0,6,0%,24.5
2026-06-13,0,2,0%,43.5
2026-06-14,0,7,0%,34.1
2026-06-15,0,1,0%,49
2026-06-16,0,4,0%,73.8
2026-06-17,0,7,0%,54.7
2026-06-18,0,6,0%,56.5
2026-06-19,0,5,0%,45.2
2026-06-20,0,8,0%,63.4
2026-06-21,0,4,0%,64.5
2026-06-22,0,3,0%,35
2026-06-23,0,0,,
