Country,Clicks,Impressions,CTR,Position
India,18,200,9%,31.27
France,1,37,2.7%,31.05
Georgia,1,1,100%,1
United States,0,363,0%,72.75
United Kingdom,0,68,0%,75.1
Germany,0,57,0%,67.11
Italy,0,48,0%,71.02
Australia,0,24,0%,68.21
Canada,0,23,0%,63.87
Japan,0,17,0%,68.24
Austria,0,15,0%,64.4
Denmark,0,15,0%,71.6
Brazil,0,14,0%,64.71
Spain,0,13,0%,61.08
Netherlands,0,12,0%,50.67
Russia,0,12,0%,67.25
Indonesia,0,10,0%,31.7
Pakistan,0,10,0%,38.5
New Zealand,0,8,0%,68.25
Israel,0,8,0%,73.25
Philippines,0,6,0%,87.5
Sweden,0,5,0%,70.4
South Korea,0,4,0%,35.75
Thailand,0,4,0%,45
Hong Kong,0,4,0%,58.5
Switzerland,0,4,0%,64.25
Portugal,0,4,0%,66.5
Finland,0,4,0%,73.25
Latvia,0,3,0%,9.67
Iran,0,3,0%,12
Argentina,0,3,0%,35.67
United Arab Emirates,0,3,0%,56.67
Turkey,0,3,0%,64.33
Singapore,0,2,0%,44.5
Malaysia,0,2,0%,50
Vietnam,0,2,0%,53
Kenya,0,2,0%,65.5
Mexico,0,2,0%,70.5
Nigeria,0,2,0%,79.5
Czechia,0,1,0%,2
Serbia,0,1,0%,6
Senegal,0,1,0%,24
Macau,0,1,0%,25
Iraq,0,1,0%,26
Ukraine,0,1,0%,26
Afghanistan,0,1,0%,28
China,0,1,0%,34
Chile,0,1,0%,35
Bangladesh,0,1,0%,50
Colombia,0,1,0%,58
Ecuador,0,1,0%,66
Norway,0,1,0%,69
Algeria,0,1,0%,77
Ireland,0,1,0%,80
Egypt,0,1,0%,84
Syria,0,1,0%,87
