"Date","Clicks","Impressions","Avg. CTR"
"6/2/2026 12:00:00 AM","0","0","0"
"6/3/2026 12:00:00 AM","0","0","0"
"6/4/2026 12:00:00 AM","0","0","0"
"6/5/2026 12:00:00 AM","0","0","0"
"6/6/2026 12:00:00 AM","0","0","0"
"6/7/2026 12:00:00 AM","0","0","0"
"6/8/2026 12:00:00 AM","0","0","0"
"6/9/2026 12:00:00 AM","0","0","0"
"6/10/2026 12:00:00 AM","0","0","0"
"6/11/2026 12:00:00 AM","0","0","0"
"6/12/2026 12:00:00 AM","0","0","0"
"6/13/2026 12:00:00 AM","0","0","0"
"6/14/2026 12:00:00 AM","0","0","0"
"6/15/2026 12:00:00 AM","0","0","0"
"6/16/2026 12:00:00 AM","0","0","0"
"6/17/2026 12:00:00 AM","0","0","0"
"6/18/2026 12:00:00 AM","0","1","0"
"6/19/2026 12:00:00 AM","0","0","0"
"6/20/2026 12:00:00 AM","0","2","0"
"6/21/2026 12:00:00 AM","0","1","0"
"6/22/2026 12:00:00 AM","0","0","0"
"6/23/2026 12:00:00 AM","0","1","0"
"6/24/2026 12:00:00 AM","0","0","0"
"6/25/2026 12:00:00 AM","0","0","0"
"6/26/2026 12:00:00 AM","0","1","0"
"6/27/2026 12:00:00 AM","0","2","0"
"6/28/2026 12:00:00 AM","0","0","0"
"6/29/2026 12:00:00 AM","0","1","0"
"6/30/2026 12:00:00 AM","0","4","0"
"7/1/2026 12:00:00 AM","0","2","0"
"7/2/2026 12:00:00 AM","0","2","0"
"7/3/2026 12:00:00 AM","1","6","16.67"
"7/4/2026 12:00:00 AM","0","0","0"
"7/5/2026 12:00:00 AM","0","3","0"
"7/6/2026 12:00:00 AM","0","0","0"
"7/7/2026 12:00:00 AM","0","9","0"
