# ImageToolStack URL Priority List

Legend:
- indexed = you verified the URL is indexed in GSC
- unchecked = not inspected yet
- improve-first = fix for AdSense review before requesting approval
- improve-next = good SEO target after P0
- later = keep, but do not spend time yet
- defer = consider noindex/removing from sitemap until the page is unique and useful
- hold = not part of current 90-day focus

# === P0: ADSENSE REVIEW CORE - inspect first, improve first, keep indexable ===
https://imagetoolstack.com/image-compressor | indexed | improved
https://imagetoolstack.com/tools/bulk-image-resizer | indexed | improved
https://imagetoolstack.com/tools/bulk-resizer | indexed | improved
https://imagetoolstack.com/tools/image-compressor | indexed | improved
https://imagetoolstack.com/tools/image-resizer | indexed | finalized
https://imagetoolstack.com/tools/heic-to-jpg | indexed | finalized
https://imagetoolstack.com/tools/image-to-pdf | requested | improved
https://imagetoolstack.com/tools/jpg-to-png | indexed | finalized
https://imagetoolstack.com/tools/pdf-to-jpg | indexed | finalized
https://imagetoolstack.com/tools/pdf-to-png | requested | finalized
https://imagetoolstack.com/tools/png-to-jpg | indexed | finalized
https://imagetoolstack.com/tools/exif-remover | indexed | finalized
https://imagetoolstack.com/tools/image-redactor | indexed | improve-first
https://imagetoolstack.com/tools/metadata-viewer | indexed | improve-first
https://imagetoolstack.com/compare/jpeg2000-vs-jpeg | indexed | improve-first
https://imagetoolstack.com/compare/pdf-vs-png | indexed | improve-first
https://imagetoolstack.com/compare/png-vs-jpg | indexed | improve-first
https://imagetoolstack.com/compare/png-vs-svg | indexed | improve-first
https://imagetoolstack.com/compare/webp-vs-png | indexed | improve-first
https://imagetoolstack.com/formats/heic | indexed | improve-first
https://imagetoolstack.com/formats/jpg | indexed | improve-first
https://imagetoolstack.com/formats/png | indexed | improve-first
https://imagetoolstack.com/formats/svg | indexed | improve-first
https://imagetoolstack.com/formats/webp | indexed | improve-first
https://imagetoolstack.com/ | indexed | improve-first
https://imagetoolstack.com/about | indexed | improve-first
https://imagetoolstack.com/articles | indexed | improve-first
https://imagetoolstack.com/contact | indexed | improve-first
https://imagetoolstack.com/image-converter | indexed | improve-first
https://imagetoolstack.com/image-formats | indexed | improve-first
https://imagetoolstack.com/image-tools | indexed | improve-first
https://imagetoolstack.com/privacy | indexed | improve-first
https://imagetoolstack.com/terms | indexed | improve-first

# === P1: SEO QUICK WINS - indexed/impression candidates to improve next ===
https://imagetoolstack.com/best-bulk-image-resizer-free | indexed | improve-next
https://imagetoolstack.com/best-free-image-resizer-online | indexed | improve-next
https://imagetoolstack.com/best-image-compressor-online | indexed | improve-next
https://imagetoolstack.com/crop-image-online | unchecked | improve-next
https://imagetoolstack.com/for/discord | indexed | improve-next
https://imagetoolstack.com/for/instagram | indexed | improve-next
https://imagetoolstack.com/for/linkedin | unchecked | improve-next
https://imagetoolstack.com/for/shopify | unchecked | improve-next
https://imagetoolstack.com/for/youtube | unchecked | improve-next
https://imagetoolstack.com/tools/crop-image | unchecked | improve-next
https://imagetoolstack.com/tools/add-text-to-image | unchecked | improve-next
https://imagetoolstack.com/tools/avif-to-png | unchecked | improve-next
